Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C101,100n,C_0603_1608Metric,279.527,-26.797,90,bottom
C102,30p,C_0603_1608Metric,273.812,-52.324,90,bottom
C103,30p,C_0603_1608Metric,267.716,-54.61,-90,bottom
C104,100n,C_0603_1608Metric,271.907,-35.179,90,bottom
C105,100n,C_0603_1608Metric,263.525,-36.195,180,bottom
C106,1u,C_0603_1608Metric,265.43,-49.276,180,bottom
C107,100n,C_0603_1608Metric,270.383,-36.068,90,bottom
C108,1u,C_0603_1608Metric,263.525,-44.45,180,bottom
C109,100n,C_0603_1608Metric,263.525,-40.767,180,bottom
C110,100n,C_0603_1608Metric,263.525,-39.243,180,bottom
C111,100n,C_0603_1608Metric,276.987,-44.45,0,bottom
C112,100n,C_0603_1608Metric,265.43,-50.8,180,bottom
C113,100n,C_0603_1608Metric,276.987,-39.751,0,bottom
C114,100n,C_0603_1608Metric,270.383,-33.02,90,bottom
C115,10u,C_0603_1608Metric,263.525,-37.719,180,bottom
C201,10u,C_0603_1608Metric,260.35,-29.21,0,bottom
C202,10u,C_0603_1608Metric,259.715,-39.751,0,bottom
D301,1N4148W,D_SOD-123F,27.94,-34.29,180,bottom
D302,1N4148W,D_SOD-123F,31.75,-53.34,180,bottom
D303,1N4148W,D_SOD-123F,40.64,-72.39,180,bottom
D304,1N4148W,D_SOD-123F,45.72,-91.44,180,bottom
D305,1N4148W,D_SOD-123F,48.26,-34.29,180,bottom
D306,1N4148W,D_SOD-123F,53.34,-53.34,180,bottom
D307,1N4148W,D_SOD-123F,62.36,-72.39,180,bottom
D308,1N4148W,D_SOD-123F,69.85,-91.44,180,bottom
D309,1N4148W,D_SOD-123F,67.18,-34.29,180,bottom
D310,1N4148W,D_SOD-123F,72.39,-53.34,180,bottom
D311,1N4148W,D_SOD-123F,81.15,-72.39,180,bottom
D312,1N4148W,D_SOD-123F,91.44,-91.44,180,bottom
D313,1N4148W,D_SOD-123F,86.36,-34.29,180,bottom
D314,1N4148W,D_SOD-123F,91.44,-53.34,180,bottom
D315,1N4148W,D_SOD-123F,100.33,-72.39,180,bottom
D316,1N4148W,D_SOD-123F,105.41,-34.29,180,bottom
D317,1N4148W,D_SOD-123F,110.49,-53.34,180,bottom
D318,1N4148W,D_SOD-123F,119.38,-72.39,180,bottom
D319,1N4148W,D_SOD-123F,119.38,-91.44,180,bottom
D320,1N4148W,D_SOD-123F,124.46,-34.29,180,bottom
D321,1N4148W,D_SOD-123F,129.54,-53.34,180,bottom
D322,1N4148W,D_SOD-123F,138.43,-72.39,180,bottom
D323,1N4148W,D_SOD-123F,143.51,-34.29,180,bottom
D324,1N4148W,D_SOD-123F,148.59,-53.34,180,bottom
D325,1N4148W,D_SOD-123F,158.75,-72.39,180,bottom
D326,1N4148W,D_SOD-123F,157.35,-91.44,180,bottom
D327,1N4148W,D_SOD-123F,162.56,-34.29,180,bottom
D328,1N4148W,D_SOD-123F,167.51,-53.34,180,bottom
D329,1N4148W,D_SOD-123F,177.67,-72.39,180,bottom
D330,1N4148W,D_SOD-123F,186.69,-91.44,180,bottom
D331,1N4148W,D_SOD-123F,181.61,-34.29,180,bottom
D332,1N4148W,D_SOD-123F,186.69,-53.34,180,bottom
D333,1N4148W,D_SOD-123F,196.85,-72.39,180,bottom
D334,1N4148W,D_SOD-123F,208.28,-91.44,180,bottom
D335,1N4148W,D_SOD-123F,200.66,-34.29,180,bottom
D336,1N4148W,D_SOD-123F,205.74,-53.34,180,bottom
D337,1N4148W,D_SOD-123F,215.9,-72.39,180,bottom
D338,1N4148W,D_SOD-123F,233.68,-91.44,180,bottom
D339,1N4148W,D_SOD-123F,219.71,-34.29,180,bottom
D340,1N4148W,D_SOD-123F,224.79,-53.34,180,bottom
D341,1N4148W,D_SOD-123F,234.82,-72.39,180,bottom
D342,1N4148W,D_SOD-123F,252.73,-91.44,180,bottom
D343,1N4148W,D_SOD-123F,241.17,-34.29,180,bottom
D344,1N4148W,D_SOD-123F,246.38,-53.34,180,bottom
D345,1N4148W,D_SOD-123F,254,-72.39,180,bottom
D346,1N4148W,D_SOD-123F,273.05,-91.44,180,bottom
F0,Fiducial_0.75mm_Mask1.5mm,Fiducial_0.75mm_Mask1.5mm,22.606,-90.043,180,bottom
F1,Fiducial_0.75mm_Mask1.5mm,Fiducial_0.75mm_Mask1.5mm,278.384,-90.043,180,bottom
F2,Fiducial_0.75mm_Mask1.5mm,Fiducial_0.75mm_Mask1.5mm,278.384,-23.876,180,bottom
J201,U262-161N-4BVC11,USB_C_Receptacle_XKB_U262-16XN-4BVC11,268.859,-22.733,0,bottom
R101,DNP,R_0603_1608Metric,278.511,-60.071,90,bottom
R102,1k,R_0603_1608Metric,277.749,-57.658,180,bottom
R103,27.4,R_0603_1608Metric,268.859,-36.068,-90,bottom
R104,27.4,R_0603_1608Metric,267.335,-36.068,-90,bottom
R105,1k,R_0603_1608Metric,267.716,-51.562,90,bottom
R201,5k1,R_0603_1608Metric,275.59,-24.13,-90,bottom
R202,5k1,R_0603_1608Metric,262.255,-24.13,-90,bottom
SW101,B3U-1000P,SW_SPST_B3U-1000P,275.971,-60.96,90,bottom
U101,W25Q16JVSSIQ,SOIC-8_5.23x5.23mm_P1.27mm,277.368,-33.147,90,bottom
U102,RP2040,QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,270.075,-43.4425,180,bottom
U201,NCP1117LPST33T3G,SOT-223-3_TabPin2,257.302,-34.417,-90,bottom
Y101,X322512MSB4SI,Crystal_SMD_3225-4Pin_3.2x2.5mm,270.764,-52.07,0,bottom
